# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:07:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/_a7ex_du.json
# init = 2 (Default)
# random
#   seed = 84732
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220754_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.941177
# Diagonal elements of inverse mass matrix:
# 0.274895
-11.8349,1,0.941177,2,3,0,12.0474,0.350942
-11.3079,1,0.941177,1,1,0,11.7125,0.418106
-11.2749,1,0.941177,1,1,0,11.3365,0.424501
-12.3165,0.832374,0.941177,1,3,0,12.3468,0.311522
-11.0954,0.974879,0.941177,1,3,0,12.4717,0.512522
-11.0904,0.922908,0.941177,2,3,0,11.5925,0.499166
-11.1214,0.994981,0.941177,2,3,0,11.1289,0.46888
-11.4122,0.662587,0.941177,2,3,0,13.6661,0.599284
-11.2041,1,0.941177,1,1,0,11.3644,0.559402
-11.2109,0.968673,0.941177,1,3,0,11.4851,0.43885
-11.2109,0.943105,0.941177,1,1,0,11.3999,0.43885
-11.1761,1,0.941177,2,3,0,11.2159,0.448362
-11.9407,0.862292,0.941177,1,3,0,11.9817,0.341223
-11.6081,0.858347,0.941177,1,3,0,13.3671,0.625167
-11.2785,1,0.941177,1,1,0,11.534,0.576232
-11.222,1,0.941177,1,1,0,11.2847,0.563865
-11.1516,1,0.941177,1,1,0,11.2087,0.543667
-11.1127,1,0.941177,1,1,0,11.1427,0.526425
-11.0906,0.855357,0.941177,2,3,0,12.0936,0.497408
-11.1413,0.767133,0.941177,2,3,0,12.7472,0.460172
-11.1892,0.988508,0.941177,1,1,0,11.1933,0.444604
-11.8157,0.802856,0.941177,1,3,0,12.4201,0.647208
-11.1741,0.998357,0.941177,1,3,0,11.6903,0.551021
-11.8447,0.879938,0.941177,1,3,0,11.8752,0.649985
-13.3551,0.728605,0.941177,1,1,0,13.3555,0.748271
-11.0933,0.959835,0.941177,1,3,0,13.6199,0.490331
-11.0969,0.999709,0.941177,2,3,0,11.0971,0.485658
-11.2288,0.974718,0.941177,2,3,0,11.2913,0.434511
-11.2288,0.905178,0.941177,1,3,0,11.6893,0.434511
-11.3386,0.974207,0.941177,1,1,0,11.3519,0.412606
-11.669,0.925996,0.941177,1,1,0,11.6789,0.367919
-12.3519,0.860691,0.941177,1,1,0,12.376,0.309025
-11.5157,0.892015,0.941177,2,3,0,13.7635,0.61378
-11.4708,1,0.941177,2,3,0,11.5845,0.607756
-11.0916,1,0.941177,2,3,0,11.4373,0.493718
-11.0916,0.999659,0.941177,1,3,0,11.0946,0.506342
-11.094,0.999418,0.941177,1,1,0,11.0941,0.51072
-11.417,0.915774,0.941177,1,3,0,11.549,0.399995
-11.5479,0.970078,0.941177,1,1,0,11.5969,0.382119
-11.237,0.943867,0.941177,1,3,0,12.0275,0.567386
-11.2175,1,0.941177,1,1,0,11.2584,0.56279
-11.1602,0.9776,0.941177,1,3,0,11.4099,0.45338
-11.2237,0.984846,0.941177,1,1,0,11.2296,0.435724
-12.0949,0.852675,0.941177,1,3,0,12.126,0.328242
-11.4679,1,0.941177,1,1,0,11.959,0.392656
-11.1406,0.999426,0.941177,1,3,0,11.3989,0.460451
-12.7675,0.691842,0.941177,1,3,0,13.0186,0.282555
-11.3544,1,0.941177,2,3,0,12.448,0.590088
-11.0994,0.989365,0.941177,1,3,0,11.426,0.48321
-11.1035,0.999009,0.941177,1,1,0,11.1048,0.479771
-15.0885,0.567521,0.941177,2,3,0,15.5768,0.186421
-14.3927,1,0.941177,1,1,0,15.4286,0.209225
-12.2426,1,0.941177,1,1,0,13.9736,0.316879
-11.5448,0.92771,0.941177,2,3,0,13.0894,0.382507
-11.9351,0.915649,0.941177,1,1,0,11.9707,0.341717
-11.0919,0.993471,0.941177,1,3,0,11.9371,0.493151
-11.2131,0.972483,0.941177,1,3,0,11.2338,0.438304
-13.4348,0.619827,0.941177,1,3,0,13.7164,0.248
-12.4136,1,0.941177,1,1,0,13.3215,0.304779
-11.1388,0.98341,0.941177,2,3,0,12.5255,0.461168
-11.1876,0.979292,0.941177,2,3,0,11.3154,0.445032
-11.2257,0.990906,0.941177,1,1,0,11.241,0.435242
-11.0971,0.995738,0.941177,2,3,0,11.2563,0.485484
-11.7392,0.913149,0.941177,2,3,0,11.8145,0.639556
-11.5793,1,0.941177,2,3,0,11.7813,0.621751
-11.3011,0.939939,0.941177,2,3,0,12.2098,0.419384
-11.1576,0.97335,0.941177,1,3,0,11.5192,0.545735
-11.1018,1,0.941177,2,3,0,11.1443,0.481121
-11.1043,0.994528,0.941177,2,3,0,11.1443,0.520883
-11.1226,0.998525,0.941177,2,3,0,11.1233,0.531705
-11.0937,0.99776,0.941177,1,3,0,11.1386,0.489784
-11.2605,0.977177,0.941177,2,3,0,11.2783,0.57254
-11.3606,0.992185,0.941177,2,3,0,11.3816,0.591124
-11.4416,0.981197,0.941177,1,1,0,11.4877,0.603626
-11.2247,1,0.941177,1,1,0,11.3936,0.564535
-11.233,0.998039,0.941177,1,1,0,11.2633,0.566458
-11.9213,0.9344,0.941177,2,3,0,11.9226,0.342951
-11.6333,1,0.941177,1,1,0,11.9231,0.371919
-11.1771,0.99933,0.941177,1,3,0,11.5336,0.448071
-11.2567,0.96586,0.941177,2,3,0,11.4766,0.428274
-11.6321,0.915507,0.941177,1,1,0,11.6325,0.372064
-11.2044,0.762772,0.941177,2,3,0,13.6882,0.559492
-12.486,0.858895,0.941177,2,3,0,12.5157,0.299948
-11.9766,1,0.941177,2,3,0,12.4719,0.338088
-11.3622,0.89927,0.941177,1,3,0,12.8934,0.591399
-11.1201,0.999515,0.941177,1,3,0,11.3138,0.530451
-11.4427,0.962674,0.941177,2,3,0,11.453,0.396211
-11.0951,0.990422,0.941177,1,3,0,11.504,0.512157
-11.0992,0.975739,0.941177,2,3,0,11.2501,0.483365
-11.0921,0.999996,0.941177,1,3,0,11.0975,0.49269
-11.0908,0.982835,0.941177,2,3,0,11.1994,0.503768
-11.0904,0.989075,0.941177,2,3,0,11.1586,0.498887
-11.4897,0.903491,0.941177,1,3,0,11.6062,0.610326
-11.3189,0.931459,0.941177,1,3,0,12.1186,0.416087
-11.281,1,0.941177,1,1,0,11.3468,0.423266
-11.1342,0.985242,0.941177,2,3,0,11.405,0.463052
-11.1544,0.995115,0.941177,1,1,0,11.1608,0.455351
-11.2778,0.970771,0.941177,1,1,0,11.2787,0.423909
-11.5817,0.911306,0.941177,2,3,0,12.0791,0.377964
-11.9338,0.782615,0.941177,1,3,0,13.4007,0.658168
-11.3989,0.894148,0.941177,1,3,0,12.9165,0.402751
-11.3989,0.637488,0.941177,1,3,0,13.4417,0.402751
-11.2564,1,0.941177,1,1,0,11.3796,0.428344
-12.6437,0.616603,0.941177,1,3,0,13.8772,0.710049
-11.3043,0.995946,0.941177,1,3,0,12.3867,0.581228
-11.2332,1,0.941177,1,1,0,11.3071,0.566512
-11.0929,0.997691,0.941177,2,3,0,11.2486,0.508941
-11.0985,0.955622,0.941177,2,3,0,11.3747,0.484047
-11.1579,0.980539,0.941177,1,3,0,11.2095,0.545861
-11.2871,0.969455,0.941177,1,1,0,11.288,0.577928
-11.2871,0.619934,0.941177,1,3,0,13.5532,0.577928
-11.914,0.863232,0.941177,2,3,0,12.5206,0.656391
-11.3724,0.943779,0.941177,2,3,0,12.5048,0.593066
-11.7581,0.971567,0.941177,2,3,0,11.7683,0.641496
-11.1584,0.955353,0.941177,1,3,0,12.0989,0.453991
-11.6111,0.919351,0.941177,1,3,0,11.6255,0.374485
-12.7261,0.783313,0.941177,1,1,0,12.7264,0.28499
-11.1666,1,0.941177,2,3,0,12.4243,0.548689
-11.5316,0.87588,0.941177,1,3,0,11.9321,0.38417
-11.1809,0.999779,0.941177,1,3,0,11.4503,0.446945
-11.928,0.862046,0.941177,2,3,0,12.3614,0.34235
-11.1188,1,0.941177,2,3,0,11.7884,0.52981
-11.9078,0.840549,0.941177,1,3,0,12.0089,0.655833
-11.0911,0.9888,0.941177,1,3,0,11.9717,0.495081
-11.1001,0.858759,0.941177,2,3,0,12.0366,0.482595
-11.4222,0.931259,0.941177,1,3,0,11.464,0.399216
-11.439,0.89362,0.941177,2,7,0,12.2453,0.603253
-11.8689,0.906364,0.941177,1,1,0,11.8843,0.652262
-12.2882,0.728715,0.941177,1,3,0,14.5493,0.313545
-11.7272,1,0.941177,1,1,0,12.2102,0.361692
-11.4419,1,0.941177,1,1,0,11.6923,0.396331
-11.1288,0.999335,0.941177,1,3,0,11.3796,0.46537
-11.1288,0.867011,0.941177,1,3,0,11.7075,0.46537
-11.1354,0.99841,0.941177,1,1,0,11.1432,0.462538
-11.2295,0.992519,0.941177,2,3,0,11.2299,0.43435
-11.2295,0.976207,0.941177,1,1,0,11.3211,0.43435
-11.8323,0.903505,0.941177,1,3,0,11.8397,0.351193
-11.11,0.996197,0.941177,1,3,0,11.7606,0.475232
-11.1569,0.988688,0.941177,1,1,0,11.157,0.454484
-11.4395,0.952826,0.941177,1,3,0,11.4421,0.396673
-11.2733,0.942597,0.941177,1,3,0,11.9543,0.575179
-11.1036,0.999578,0.941177,1,3,0,11.2438,0.520304
-11.1591,0.979897,0.941177,1,3,0,11.2232,0.453743
-12.3181,0.815375,0.941177,2,3,0,12.7807,0.311405
-11.1115,0.991331,0.941177,1,3,0,12.2383,0.474332
-11.0915,0.998945,0.941177,1,3,0,11.1187,0.506008
-11.0915,0.727825,0.941177,1,3,0,12.3847,0.506008
-11.0905,0.977637,0.941177,2,3,0,11.2312,0.498202
-11.1181,0.995368,0.941177,2,3,0,11.1259,0.470554
-11.7772,0.866791,0.941177,1,3,0,11.8536,0.356587
-12.0888,0.933805,0.941177,1,1,0,12.1793,0.32873
-11.4343,1,0.941177,1,1,0,11.9427,0.397427
-11.0963,0.995356,0.941177,2,3,0,11.4648,0.486409
-11.0971,0.998167,0.941177,1,3,0,11.1116,0.514488
-11.2699,0.951172,0.941177,1,3,0,11.3631,0.425507
-11.4268,0.936635,0.941177,2,3,0,11.8556,0.398536
-11.0917,1,0.941177,2,3,0,11.3963,0.506506
-11.1219,0.994158,0.941177,2,3,0,11.136,0.531348
-11.1321,0.977462,0.941177,2,3,0,11.2875,0.463932
-11.2038,0.966905,0.941177,1,3,0,11.3506,0.559325
-11.2038,0.643784,0.941177,1,3,0,13.0213,0.559325
-11.1523,0.980025,0.941177,1,3,0,11.3746,0.456074
-11.1627,0.997502,0.941177,1,1,0,11.1753,0.452561
-14.7651,0.603104,0.941177,2,3,0,14.9231,0.803441
-14.6362,1,0.941177,2,7,0,14.7408,0.200817
-11.1186,0.957054,0.941177,1,3,0,14.697,0.470307
-13.2565,0.595628,0.941177,1,3,0,13.7121,0.25648
-12.7046,1,0.941177,1,1,0,13.365,0.286266
-11.1485,0.989252,0.941177,1,3,0,12.549,0.457454
-11.0923,1,0.941177,2,3,0,11.1395,0.507835
-11.0916,0.995393,0.941177,2,3,0,11.1219,0.493835
-11.0914,0.9995,0.941177,2,3,0,11.0955,0.505578
-12.1709,0.761012,0.941177,1,3,0,12.4593,0.677723
-12.3523,0.962533,0.941177,1,1,0,12.5504,0.691005
-12.4757,0.974851,0.941177,1,1,0,12.7256,0.699376
-11.8375,0.908103,0.941177,2,3,0,13.7119,0.649304
-11.1864,1,0.941177,2,3,0,11.6899,0.445381
-11.263,0.889802,0.941177,2,3,0,11.9928,0.573059
-11.1631,1,0.941177,1,1,0,11.2421,0.547565
-11.2808,0.961354,0.941177,2,3,0,11.4899,0.576697
-11.3569,0.928355,0.941177,1,3,0,11.8681,0.40949
-11.2099,0.95939,0.941177,1,3,0,11.7075,0.560901
-11.1168,0.8315,0.941177,2,3,0,12.4292,0.471271
-11.6621,0.889868,0.941177,1,3,0,11.7194,0.368686
-11.8105,0.967197,0.941177,1,1,0,11.909,0.353302
-11.3571,1,0.941177,1,1,0,11.7103,0.409461
-11.1504,0.972389,0.941177,1,3,0,11.5762,0.543238
-11.1693,0.995454,0.941177,1,1,0,11.1797,0.549541
-11.1041,0.840377,0.941177,2,3,0,12.2948,0.479254
-11.0911,0.846084,0.941177,2,3,0,12.1509,0.495312
-11.0961,0.882417,0.941177,2,3,0,11.8662,0.486646
-11.2509,0.979767,0.941177,2,3,0,11.2631,0.570474
-12.2236,0.839802,0.941177,1,3,0,12.2552,0.681717
-11.2344,0.962377,0.941177,2,3,0,12.5641,0.566798
-11.7505,0.63769,0.941177,2,3,0,14.0685,0.359287
-11.5247,1,0.941177,1,1,0,11.7541,0.385065
-11.9973,0.898822,0.941177,1,1,0,12.0209,0.336308
-11.6992,1,0.941177,1,1,0,12.0087,0.364648
-11.1391,0.700242,0.941177,2,3,0,14.371,0.538982
-11.1878,0.996106,0.941177,2,3,0,11.1915,0.555015
-13.7708,0.557651,0.941177,1,3,0,14.1858,0.766785
-14.9777,0.820852,0.941177,1,1,0,15.2197,0.810188
-15.0881,0.983716,0.941177,1,1,0,15.7997,0.813566
-14.2563,1,0.941177,1,1,0,15.351,0.785842
-11.1453,1,0.941177,2,3,0,14.0995,0.541367
-11.9301,0.908482,0.941177,2,3,0,11.9604,0.342164
-11.7317,1,0.941177,1,1,0,11.9889,0.36122
-12.1204,0.917934,0.941177,1,1,0,12.1894,0.326207
-11.1341,0.994783,0.941177,1,3,0,12,0.463094
-11.2073,0.982473,0.941177,1,1,0,11.2084,0.439768
-11.1709,1,0.941177,1,1,0,11.2104,0.449962
-11.1128,0.990394,0.941177,1,3,0,11.2465,0.52646
-11.0909,0.823712,0.941177,2,3,0,12.3349,0.504092
-11.4255,0.916922,0.941177,1,3,0,11.534,0.398726
-12.0253,0.957396,0.941177,2,3,0,12.0292,0.333947
-11.8668,1,0.941177,1,1,0,12.1307,0.347937
-11.423,1,0.941177,2,3,0,11.7774,0.399089
-11.2656,1,0.941177,1,1,0,11.4003,0.426401
-11.4334,0.840486,0.941177,2,3,0,12.501,0.602434
-13.735,0.662861,0.941177,1,3,0,13.8628,0.76528
-14.0654,0.944885,0.941177,1,1,0,14.513,0.778643
-12.7348,1,0.941177,1,1,0,13.906,0.715524
-12.6403,1,0.941177,1,1,0,13.0316,0.709837
-11.7247,0.916884,0.941177,2,3,0,13.7107,0.638048
-11.6931,0.91649,0.941177,2,3,0,12.7746,0.634694
-11.4332,0.938603,0.941177,2,3,0,12.37,0.602407
-11.2276,1,0.941177,1,1,0,11.3888,0.565208
-11.5208,0.977652,0.941177,2,3,0,11.5215,0.614434
-11.1946,0.954476,0.941177,1,3,0,11.8942,0.44311
-11.3331,0.967465,0.941177,1,1,0,11.3377,0.413567
-11.4331,0.916744,0.941177,1,3,0,12.0891,0.602396
-11.8645,0.905984,0.941177,1,1,0,11.879,0.651853
-11.0984,0.979949,0.941177,1,3,0,11.9921,0.484159
-11.0999,0.997151,0.941177,2,3,0,11.1221,0.517288
-15.6505,0.521278,0.941177,2,3,0,16.1244,0.829576
-11.4257,1,0.941177,2,3,0,14.7447,0.398687
-11.0912,0.99498,0.941177,1,3,0,11.4558,0.505097
-11.5563,0.932819,0.941177,2,3,0,11.6325,0.381069
-11.3138,1,0.941177,1,1,0,11.5132,0.417026
-11.0904,0.998265,0.941177,1,3,0,11.3238,0.501047
-11.2013,0.709778,0.941177,2,3,0,13.2337,0.441332
-11.2013,0.57105,0.941177,1,3,0,13.4977,0.441332
-11.1314,1,0.941177,1,1,0,11.1854,0.464242
-11.1558,0.94296,0.941177,2,3,0,11.528,0.545131
-11.2314,0.981976,0.941177,1,1,0,11.2353,0.566092
-11.1138,0.806272,0.941177,2,3,0,12.6604,0.472957
-11.095,1,0.941177,2,3,0,11.1092,0.512025
-11.0994,0.828189,0.941177,2,3,0,12.2755,0.516812
-11.1512,0.982327,0.941177,1,3,0,11.2019,0.456465
-11.5322,0.960456,0.941177,2,3,0,11.5358,0.615905
-11.0913,0.997349,0.941177,1,3,0,11.5279,0.505406
-11.1575,0.988368,0.941177,2,3,0,11.18,0.5457
-11.2904,0.807151,0.941177,2,3,0,12.5373,0.42143
-11.5635,0.93791,0.941177,1,1,0,11.5713,0.380175
-12.3928,0.831796,0.941177,1,1,0,12.3976,0.306192
-12.1956,1,0.941177,1,1,0,12.5507,0.320395
-11.091,1,0.941177,2,3,0,12.0963,0.504539
-11.091,0.802316,0.941177,1,3,0,11.9811,0.504539
-11.1303,0.99299,0.941177,2,3,0,11.1443,0.535289
-11.2065,0.981763,0.941177,1,1,0,11.2071,0.560027
-11.3042,0.976939,0.941177,1,1,0,11.3148,0.581201
-11.1545,0.980849,0.941177,2,3,0,11.4717,0.544669
-11.8162,0.877066,0.941177,1,3,0,11.857,0.647255
-11.4238,1,0.941177,1,1,0,11.7426,0.601019
-11.1683,1,0.941177,2,7,0,11.3628,0.450764
-11.1141,1,0.941177,1,1,0,11.1553,0.472784
-11.4795,0.893973,0.941177,1,3,0,11.7163,0.608949
-11.0904,0.996527,0.941177,1,3,0,11.499,0.49844
-11.1569,0.98923,0.941177,2,3,0,11.1734,0.454499
-11.325,0.960444,0.941177,1,1,0,11.3251,0.414988
-11.0905,0.998744,0.941177,1,3,0,11.3272,0.498114
-12.3401,0.830535,0.941177,2,3,0,12.5401,0.690147
-12.6096,0.982077,0.941177,2,3,0,12.8205,0.707942
-11.6262,1,0.941177,2,3,0,12.3973,0.627262
-12.2128,0.745404,0.941177,1,3,0,13.9735,0.319094
