# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:08:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/1mtvm5gg.json
# init = 2 (Default)
# random
#   seed = 48145
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220808_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.05106
# Diagonal elements of inverse mass matrix:
# 0.271666
-11.8888,0.936423,1.05106,1,1,0,12.0061,0.345902
-11.3622,1,1.05106,2,3,0,11.7465,0.591388
-11.721,0.902721,1.05106,1,1,0,11.7514,0.637666
-11.1596,0.96898,1.05106,1,3,0,11.8421,0.453575
-11.0909,0.8736,1.05106,2,3,0,11.8411,0.496053
-11.0909,0.334725,1.05106,1,3,0,14.3135,0.496053
-11.1991,0.802628,1.05106,2,3,0,12.1705,0.558099
-11.4567,0.974781,1.05106,2,3,0,11.4644,0.394211
-12.6474,0.721213,1.05106,1,1,0,12.6498,0.289725
-11.6488,1,1.05106,2,3,0,12.4122,0.37017
-11.1677,0.968233,1.05106,1,3,0,11.7887,0.549038
-11.1322,1,1.05106,2,3,0,11.1643,0.536113
-11.1792,0.986094,1.05106,1,1,0,11.1852,0.552549
-11.3834,0.980279,1.05106,2,3,0,11.3883,0.594819
-11.6686,0.973956,1.05106,2,3,0,11.7112,0.632032
-11.6686,0.45646,1.05106,1,3,0,14.3909,0.632032
-11.5747,1,1.05106,1,1,0,11.7643,0.621191
-11.5747,0.689923,1.05106,1,3,0,12.9546,0.621191
-11.1264,1,1.05106,1,3,0,11.4501,0.533523
-11.1059,1,1.05106,2,3,0,11.1222,0.52202
-11.1046,0.914188,1.05106,2,3,0,11.5564,0.521061
-11.3345,0.945979,1.05106,1,3,0,11.34,0.586677
-11.139,1,1.05106,2,3,0,11.2927,0.461059
-11.1637,0.958344,1.05106,2,3,0,11.366,0.452231
-11.1094,1,1.05106,1,1,0,11.1482,0.475636
-14.9966,0.534086,1.05106,2,3,0,15.8083,0.810773
-15.559,0.904667,1.05106,1,1,0,16.3185,0.8271
-13.6942,1,1.05106,1,1,0,15.4471,0.763542
-11.1591,1,1.05106,2,3,0,13.4161,0.453757
-11.1157,1,1.05106,1,1,0,11.1485,0.471905
-12.4466,0.77389,1.05106,2,3,0,12.8217,0.697446
-11.1159,1,1.05106,1,3,0,12.1554,0.52823
-11.1567,0.987887,1.05106,1,1,0,11.1594,0.545443
-11.4946,0.857885,1.05106,2,3,0,12.015,0.610997
-13.0028,0.850323,1.05106,2,3,0,13.0029,0.730557
-11.1338,1,1.05106,2,3,0,12.8686,0.463187
-11.1732,0.988353,1.05106,1,1,0,11.1804,0.44926
-11.4896,0.911262,1.05106,1,1,0,11.4903,0.389681
-11.1412,0.977125,1.05106,1,3,0,11.5791,0.539815
-11.263,0.941002,1.05106,2,3,0,11.4841,0.426949
-11.263,0.7698,1.05106,1,3,0,12.3773,0.426949
-11.263,0.568457,1.05106,1,3,0,13.3139,0.426949
-11.5283,0.637428,1.05106,2,3,0,13.8117,0.6154
-11.5283,0.225273,1.05106,1,3,0,16.7264,0.6154
-11.2125,1,1.05106,2,3,0,11.4411,0.561547
-11.0962,0.897737,1.05106,2,3,0,11.7792,0.486469
-11.1837,0.974499,1.05106,1,3,0,11.2169,0.553866
-11.1023,1,1.05106,1,3,0,11.1596,0.519337
-11.1212,0.99812,1.05106,2,3,0,11.1225,0.531027
-11.4176,0.913258,1.05106,1,3,0,11.5576,0.399896
-11.1638,1,1.05106,2,3,0,11.3592,0.547795
-11.3358,0.950495,1.05106,1,1,0,11.3398,0.586905
-11.2209,1,1.05106,2,3,0,11.3234,0.563606
-11.2636,0.987486,1.05106,1,1,0,11.2947,0.573189
-11.0949,0.99873,1.05106,2,3,0,11.2706,0.488113
-11.2961,0.935532,1.05106,2,3,0,11.4668,0.420333
-11.1073,0.990098,1.05106,1,3,0,11.3212,0.52302
-12.2515,0.794634,1.05106,2,3,0,12.6056,0.316222
-11.3252,0.894368,1.05106,2,3,0,13.2123,0.414957
-11.7389,0.857029,1.05106,1,3,0,12.3029,0.639527
-11.5979,1,1.05106,1,1,0,11.8193,0.623971
-11.5979,0.942585,1.05106,1,1,0,11.8588,0.623971
-12.6272,0.757575,1.05106,1,1,0,12.6502,0.709032
-13.0736,0.965942,1.05106,2,3,0,13.3914,0.734291
-12.9514,1,1.05106,1,1,0,13.5118,0.72779
-12.9514,0.629755,1.05106,1,1,0,14.7477,0.72779
-12.4921,1,1.05106,1,1,0,13.1227,0.700451
-11.3077,0.935661,1.05106,1,3,0,12.9187,0.418135
-11.7774,0.874183,1.05106,1,1,0,11.7893,0.356567
-11.1177,1,1.05106,1,3,0,11.6097,0.470771
-11.4998,0.891672,1.05106,1,3,0,11.653,0.611677
-12.2547,0.711538,1.05106,2,3,0,13.8186,0.684018
-11.2787,1,1.05106,2,3,0,12.0591,0.423727
-11.2787,0.863958,1.05106,1,1,0,11.6474,0.423727
-11.3532,0.978488,1.05106,1,1,0,11.3958,0.410106
-11.1815,0.972494,1.05106,1,3,0,11.518,0.55321
-11.3376,0.985011,1.05106,2,3,0,11.3459,0.587231
-11.3376,0.769657,1.05106,1,3,0,12.2184,0.587231
-11.341,0.999034,1.05106,1,1,0,11.4133,0.587806
-11.1389,1,1.05106,1,1,0,11.2813,0.538896
-11.0958,0.997084,1.05106,1,3,0,11.1479,0.486907
-11.2592,0.960361,1.05106,1,3,0,11.2662,0.42775
-11.5234,0.926157,1.05106,1,1,0,11.5398,0.385225
-11.248,0.956414,1.05106,1,3,0,11.8102,0.569836
-11.2442,1,1.05106,2,3,0,11.2918,0.569013
-12.0492,0.894337,1.05106,2,3,0,12.1262,0.33196
-11.8743,1,1.05106,1,1,0,12.1894,0.347242
-11.2471,1,1.05106,1,1,0,11.6941,0.430346
-11.0964,0.983089,1.05106,2,3,0,11.3484,0.486285
-11.8609,0.817482,1.05106,1,3,0,11.9323,0.348491
-11.1413,1,1.05106,1,3,0,11.6668,0.460156
-11.148,0.998022,1.05106,1,1,0,11.1619,0.457648
-11.1394,1,1.05106,1,1,0,11.1585,0.46092
-11.0958,0.854313,1.05106,2,3,0,11.9281,0.486904
-11.1831,0.595411,1.05106,2,3,0,13.8676,0.553689
-11.1251,1,1.05106,1,1,0,11.1693,0.532938
-11.091,0.999192,1.05106,1,3,0,11.1233,0.495427
-11.1941,0.664322,1.05106,2,3,0,13.1721,0.556744
-11.1276,1,1.05106,2,3,0,11.1751,0.465922
-11.7202,0.836575,1.05106,1,3,0,11.9496,0.637577
-11.7202,0.618136,1.05106,1,1,0,13.0979,0.637577
-11.7202,0.538686,1.05106,1,3,0,13.9897,0.637577
-12.8103,0.749484,1.05106,1,1,0,12.8472,0.719919
-11.4237,1,1.05106,2,3,0,12.5017,0.398994
-11.8082,0.897059,1.05106,1,1,0,11.8496,0.353525
-11.3032,1,1.05106,1,1,0,11.673,0.418981
-11.5545,0.930015,1.05106,1,1,0,11.5818,0.381286
-11.2281,1,1.05106,2,3,0,11.4689,0.565328
-11.1202,0.988444,1.05106,1,3,0,11.282,0.469512
-11.227,0.968693,1.05106,1,1,0,11.2274,0.434941
-11.0935,0.998621,1.05106,2,3,0,11.2345,0.509964
-12.0756,0.756959,1.05106,1,3,0,12.2685,0.329801
-11.096,0.990255,1.05106,1,3,0,11.9844,0.513238
-12.1833,0.74626,1.05106,1,3,0,12.3009,0.67867
-11.2342,0.909811,1.05106,2,3,0,12.9269,0.566755
-12.9181,0.764749,1.05106,2,3,0,13.1671,0.27403
-11.0909,0.996621,1.05106,1,3,0,12.6939,0.504143
-11.149,0.985287,1.05106,1,3,0,11.1536,0.542738
-11.3536,0.941315,1.05106,1,1,0,11.3545,0.589953
-12.7563,0.737962,1.05106,1,3,0,12.7596,0.716791
-11.2347,1,1.05106,1,3,0,12.3551,0.566851
-11.0981,0.994381,1.05106,1,3,0,11.2421,0.484423
-11.1616,0.971437,1.05106,2,3,0,11.2533,0.452927
-11.1,1,1.05106,2,3,0,11.152,0.51737
-11.2198,0.877756,1.05106,2,3,0,11.7482,0.436661
-11.2867,0.993505,1.05106,2,3,0,11.3138,0.422155
-11.0961,0.994561,1.05106,1,3,0,11.2834,0.513361
-11.1004,0.998699,1.05106,1,1,0,11.1015,0.517721
-11.2245,0.977966,1.05106,2,3,0,11.2524,0.435531
-11.6373,0.955645,1.05106,2,3,0,11.6402,0.371465
-12.3819,0.817426,1.05106,1,1,0,12.4329,0.306941
-13.4039,0.780506,1.05106,1,1,0,13.5686,0.249435
-12.0271,1,1.05106,1,1,0,13.1191,0.333794
-13.3779,0.712228,1.05106,1,1,0,13.441,0.250652
-11.5628,0.909839,1.05106,1,3,0,14.3615,0.619739
-11.2876,1,1.05106,2,3,0,11.4841,0.421977
-11.4636,0.950212,1.05106,1,1,0,11.495,0.393253
-11.0922,0.996058,1.05106,1,3,0,11.4231,0.507539
-11.0921,1,1.05106,1,1,0,11.0927,0.507405
-11.0991,0.975702,1.05106,2,3,0,11.2141,0.516531
-11.1216,0.993278,1.05106,1,1,0,11.1221,0.531229
-13.3861,0.53718,1.05106,1,3,0,13.6173,0.749732
-15.1168,0.899769,1.05106,2,3,0,15.3486,0.814432
-15.1168,0.877159,1.05106,1,1,0,16.4664,0.814432
-13.0568,1,1.05106,1,1,0,14.8156,0.733411
-11.2752,1,1.05106,1,3,0,12.5914,0.575566
-11.9673,0.79111,1.05106,1,3,0,12.5395,0.338889
-11.4433,1,1.05106,2,3,0,11.8532,0.39613
-11.2701,1,1.05106,2,3,0,11.4202,0.425472
-11.1706,1,1.05106,2,3,0,11.2511,0.450038
-11.0909,0.633262,1.05106,2,3,0,13.5675,0.503953
-11.2845,0.950677,1.05106,1,3,0,11.3048,0.577416
-11.2138,1,1.05106,1,1,0,11.2886,0.561859
-13.1177,0.621992,1.05106,1,3,0,13.1922,0.736565
-11.7558,1,1.05106,1,1,0,12.7864,0.641262
-11.1587,0.968747,1.05106,1,3,0,11.8737,0.453892
-11.1587,0.610113,1.05106,1,3,0,12.6252,0.453892
-11.1034,1,1.05106,1,1,0,11.1422,0.479811
-11.1255,0.997799,1.05106,2,3,0,11.1258,0.533126
-11.2765,0.951646,1.05106,1,3,0,11.386,0.424163
-11.4194,0.986425,1.05106,2,3,0,11.4519,0.399629
-11.1306,1,1.05106,2,3,0,11.3764,0.535415
-11.1953,0.980915,1.05106,1,1,0,11.1994,0.557084
-12.3918,0.821697,1.05106,2,3,0,12.588,0.306262
-12.9373,0.873733,1.05106,1,1,0,13.1819,0.27298
-12.7158,1,1.05106,1,1,0,13.2714,0.285601
-11.2142,1,1.05106,1,3,0,12.3248,0.438031
-11.5445,0.90817,1.05106,1,1,0,11.5491,0.382539
-11.5414,1,1.05106,1,1,0,11.6746,0.382926
-11.9613,0.889946,1.05106,1,1,0,12.0258,0.339417
-11.7021,1,1.05106,1,1,0,12.0174,0.364333
-11.1072,1,1.05106,1,3,0,11.5575,0.477091
-11.3917,0.933356,1.05106,1,3,0,11.3991,0.403872
-11.1895,0.953059,1.05106,2,3,0,11.7209,0.555504
-11.1273,1,1.05106,1,1,0,11.1746,0.53393
-11.8213,0.811928,1.05106,1,3,0,12.0751,0.352255
-11.1778,1,1.05106,1,3,0,11.637,0.447877
-11.1449,1,1.05106,2,3,0,11.1789,0.458793
-11.297,0.948458,1.05106,1,3,0,11.4427,0.579852
-11.624,0.910092,1.05106,1,1,0,11.6433,0.627016
-11.1421,1,1.05106,1,3,0,11.4868,0.540163
-11.1421,0.519404,1.05106,1,3,0,13.0683,0.540163
-11.1421,0.93176,1.05106,1,1,0,11.3105,0.540163
-11.9527,0.865824,1.05106,2,3,0,12.1257,0.340169
-11.252,0.908489,1.05106,2,3,0,12.7185,0.429294
-12.5656,0.737918,1.05106,1,3,0,12.5805,0.294819
-11.1332,1,1.05106,1,3,0,12.2354,0.463439
-11.9148,0.867421,1.05106,2,3,0,12.0947,0.65646
-13.8297,0.61816,1.05106,1,1,0,13.8431,0.769232
-11.4834,0.923485,1.05106,1,3,0,14.685,0.39052
-12.2143,0.816851,1.05106,1,1,0,12.2388,0.318986
-11.4435,1,1.05106,2,3,0,12.0159,0.396097
-13.2014,0.688742,1.05106,1,3,0,13.2056,0.2592
-11.0962,0.989202,1.05106,1,3,0,13.0095,0.513455
-11.0921,0.999381,1.05106,1,3,0,11.0993,0.492615
-12.6743,0.633442,1.05106,1,3,0,12.9758,0.711909
-11.1098,1,1.05106,1,3,0,12.357,0.52462
-11.1949,0.972529,1.05106,1,3,0,11.2554,0.443038
-11.8835,0.771633,1.05106,2,3,0,12.7196,0.34639
-11.2864,1,1.05106,2,3,0,11.7389,0.577786
-11.1075,0.973566,1.05106,2,3,0,11.4544,0.523103
-11.4713,0.932634,1.05106,2,3,0,11.5703,0.392182
-11.1848,1,1.05106,2,3,0,11.4018,0.55416
-11.5626,0.895321,1.05106,1,1,0,11.5631,0.61971
-11.2361,1,1.05106,1,1,0,11.4757,0.567172
-11.2361,0.69358,1.05106,1,3,0,12.3644,0.567172
-11.2361,0.630671,1.05106,1,3,0,12.931,0.567172
-11.2029,1,1.05106,2,3,0,11.2537,0.559089
-12.2497,0.782226,1.05106,1,3,0,12.2638,0.683646
-11.7572,1,1.05106,1,1,0,12.2228,0.641402
-11.5938,1,1.05106,1,1,0,11.8263,0.623487
-11.2665,0.951752,1.05106,1,3,0,11.9163,0.426222
-15.9542,0.500597,1.05106,2,3,0,16.4866,0.837472
-13.8562,1,1.05106,1,1,0,15.7938,0.770322
-11.9412,1,1.05106,2,3,0,13.3924,0.341181
-11.1857,1,1.05106,1,3,0,11.7273,0.445588
-11.1967,0.996744,1.05106,1,1,0,11.223,0.442552
-11.1202,1,1.05106,2,3,0,11.1769,0.530523
-11.0958,1,1.05106,2,3,0,11.1129,0.513026
-11.2417,0.751185,1.05106,2,3,0,12.5158,0.431552
-11.3668,0.988022,1.05106,2,3,0,11.3924,0.407856
-11.4271,0.982718,1.05106,1,1,0,11.497,0.398484
-12.5881,0.72583,1.05106,1,1,0,12.5895,0.293398
-12.1263,1,1.05106,1,1,0,12.6673,0.325742
-11.9177,1,1.05106,1,1,0,12.2627,0.343275
-13.7068,0.637205,1.05106,1,1,0,13.7261,0.23592
-11.788,1,1.05106,1,1,0,13.2202,0.355504
-11.8589,0.980779,1.05106,1,1,0,12.0441,0.348674
-11.8814,0.993906,1.05106,1,1,0,12.0962,0.346585
-11.4802,0.876178,1.05106,2,3,0,13.1109,0.390961
-11.2322,0.960103,1.05106,1,3,0,11.7377,0.56629
-11.3241,0.973407,1.05106,1,1,0,11.3513,0.584845
-13.8485,0.688274,1.05106,2,3,0,14.1372,0.229992
-11.2153,1,1.05106,2,3,0,13.4727,0.562242
-11.0941,0.684413,1.05106,2,3,0,13.1862,0.489255
-11.1085,0.995213,1.05106,1,3,0,11.1194,0.523789
-12.6868,0.653407,1.05106,1,3,0,12.8393,0.712667
-15.0625,0.59015,1.05106,1,1,0,15.1233,0.81279
-15.643,0.902609,1.05106,1,1,0,16.4085,0.829375
-11.1428,0.984961,1.05106,1,3,0,14.9728,0.540422
-11.7923,0.855956,1.05106,1,3,0,11.8049,0.644921
-11.3086,1,1.05106,2,3,0,11.6652,0.58202
-11.4917,0.94841,1.05106,1,1,0,11.5276,0.610598
-11.2142,0.908891,1.05106,2,3,0,12.1704,0.438017
-11.2142,0.509678,1.05106,1,3,0,13.5071,0.438017
-11.131,0.983235,1.05106,2,3,0,11.3143,0.535614
-11.4632,0.947374,1.05106,2,3,0,11.5176,0.3933
-12.3109,0.929628,1.05106,2,3,0,12.3268,0.688085
-11.105,0.983511,1.05106,1,3,0,12.24,0.478638
-11.4167,0.91278,1.05106,1,3,0,11.5215,0.599964
-13.3174,0.659597,1.05106,1,3,0,13.3289,0.746473
-11.6206,1,1.05106,2,3,0,12.8705,0.626618
-12.1592,0.954343,1.05106,2,3,0,12.2279,0.676823
-11.1109,0.947237,1.05106,2,3,0,12.4957,0.525329
-11.447,0.921797,1.05106,1,3,0,11.4556,0.604409
-11.9122,0.87757,1.05106,1,1,0,11.9509,0.656227
-11.695,1,1.05106,1,1,0,11.9849,0.634903
-11.1505,1,1.05106,1,3,0,11.5403,0.543271
