# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:08:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/1mtvm5gg.json
# init = 2 (Default)
# random
#   seed = 48145
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220808_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.06075
# Diagonal elements of inverse mass matrix:
# 0.235772
-11.2168,0.998405,1.06075,1,1,0,11.2471,0.562612
-11.2152,1,1.06075,1,1,0,11.2489,0.562223
-11.1028,0.992772,1.06075,1,3,0,11.2582,0.480312
-12.9157,0.730006,1.06075,2,3,0,13.4532,0.274163
-12.6425,1,1.06075,1,1,0,13.16,0.290025
-11.9992,1,1.06075,1,1,0,12.5955,0.336149
-11.1041,1,1.06075,1,3,0,11.8798,0.479264
-11.611,0.904927,1.06075,2,3,0,11.8158,0.625508
-11.3589,1,1.06075,1,1,0,11.5747,0.590846
-11.1341,1,1.06075,2,3,0,11.3062,0.463065
-11.3253,0.979932,1.06075,2,3,0,11.3291,0.585067
-11.4496,0.916135,1.06075,1,3,0,12.0128,0.395226
-12.1427,0.842888,1.06075,1,1,0,12.1506,0.324457
-12.7917,0.864196,1.06075,1,1,0,12.9182,0.281151
-11.4834,0.915846,1.06075,2,3,0,13.7022,0.39052
-13.9988,0.633423,1.06075,2,3,0,15.4228,0.223958
-11.8131,1,1.06075,2,7,0,13.5039,0.646953
-11.5118,1,1.06075,1,1,0,11.7912,0.613272
-11.3483,1,1.06075,1,1,0,11.5068,0.589056
-11.154,0.976192,1.06075,1,3,0,11.5256,0.455507
-11.5989,0.913434,1.06075,1,3,0,11.6069,0.375915
-11.1118,1,1.06075,1,3,0,11.5076,0.474115
-11.1492,0.983927,1.06075,1,3,0,11.2134,0.54282
-11.1269,0.954592,1.06075,2,3,0,11.4483,0.466261
-11.2088,0.978665,1.06075,1,1,0,11.2096,0.439386
-11.1071,1,1.06075,2,3,0,11.186,0.522875
-11.1219,0.96168,1.06075,2,3,0,11.3412,0.468646
-11.1813,0.975171,1.06075,1,3,0,11.2778,0.553167
-11.4095,0.942403,1.06075,1,1,0,11.4104,0.598875
-11.1814,0.968714,1.06075,1,3,0,11.6554,0.446799
-11.2587,0.993339,1.06075,2,3,0,11.2696,0.427848
-11.2586,1,1.06075,2,3,0,11.3028,0.427865
-11.2586,0.901014,1.06075,1,3,0,11.6983,0.427865
-11.7682,0.87809,1.06075,1,1,0,11.7683,0.357488
-11.1081,1,1.06075,1,3,0,11.6618,0.476439
-11.1081,0.8079,1.06075,1,3,0,11.8634,0.476439
-11.2079,0.970102,1.06075,2,3,0,11.3166,0.439627
-11.2079,0.288829,1.06075,1,3,0,15.805,0.439627
-11.2425,0.908927,1.06075,2,3,0,11.8562,0.568633
-11.1762,1,1.06075,1,1,0,11.2363,0.55165
-11.2073,0.905122,1.06075,2,3,0,11.8194,0.439765
-11.0992,0.994153,1.06075,1,3,0,11.2401,0.516658
-11.3196,0.937801,1.06075,1,3,0,11.4173,0.415968
-11.357,0.781925,1.06075,2,3,0,12.9485,0.590522
-11.4365,0.979891,1.06075,1,1,0,11.489,0.602889
-11.4365,0.766345,1.06075,1,3,0,12.9392,0.602889
-12.397,0.789939,1.06075,1,1,0,12.3972,0.694093
-11.1342,0.968444,1.06075,2,3,0,12.6121,0.536951
-11.2596,0.953369,1.06075,1,3,0,11.4137,0.427665
-11.6392,0.54147,1.06075,2,3,0,14.8462,0.628753
-11.5973,1,1.06075,1,1,0,11.749,0.623892
-11.3131,1,1.06075,1,1,0,11.5406,0.582856
-11.4025,0.992439,1.06075,2,3,0,11.4425,0.597806
-11.5974,0.951978,1.06075,1,1,0,11.6416,0.623904
-12.8724,0.738542,1.06075,1,1,0,12.873,0.723431
-11.7096,1,1.06075,1,1,0,12.6098,0.636457
-11.4212,0.923531,1.06075,1,3,0,12.4944,0.399355
-11.0938,0.994522,1.06075,1,3,0,11.4385,0.510376
-11.1678,0.978657,1.06075,1,3,0,11.2018,0.450932
-11.119,1,1.06075,2,3,0,11.1563,0.470117
-11.238,0.961967,1.06075,2,3,0,11.3881,0.432392
-12.453,0.660753,1.06075,1,3,0,13.3486,0.697873
-11.564,1,1.06075,1,1,0,12.2483,0.61988
-11.564,0.645215,1.06075,1,3,0,13.4653,0.61988
-11.3658,1,1.06075,1,1,0,11.5493,0.59198
-11.8511,0.885259,1.06075,1,1,0,11.8604,0.650591
-11.5596,1,1.06075,1,1,0,11.8436,0.619343
-11.1324,1,1.06075,1,3,0,11.4625,0.536218
-12.0023,0.765995,1.06075,1,3,0,12.4338,0.335887
-11.6032,1,1.06075,1,1,0,11.9631,0.375408
-11.1287,1,1.06075,1,3,0,11.5002,0.465429
-11.6158,0.899212,1.06075,1,3,0,11.6383,0.373933
-11.2677,1,1.06075,2,3,0,11.5316,0.425973
-11.5376,0.977707,1.06075,2,3,0,11.547,0.383407
-11.1402,1,1.06075,2,3,0,11.4549,0.539418
-11.6771,0.878745,1.06075,2,3,0,12.0641,0.632968
-12.4684,0.828357,1.06075,1,1,0,12.4979,0.698894
-11.3734,1,1.06075,1,3,0,12.2008,0.593225
-11.3734,0.958736,1.06075,1,1,0,11.5392,0.593225
-11.2545,1,1.06075,2,3,0,11.3645,0.571256
-11.0917,0.995496,1.06075,2,3,0,11.282,0.506465
-11.3555,0.931375,1.06075,1,3,0,11.4304,0.409727
-11.2296,1,1.06075,1,1,0,11.3384,0.43431
-11.1731,1,1.06075,1,1,0,11.2265,0.449296
-11.0935,1,1.06075,2,3,0,11.1634,0.509976
-11.0907,0.84234,1.06075,2,3,0,12.0711,0.496504
-12.179,0.744339,1.06075,1,3,0,12.4535,0.678344
-11.8149,1,1.06075,1,1,0,12.1999,0.647125
-11.8211,0.998493,1.06075,1,1,0,12.0032,0.647728
-11.2799,1,1.06075,2,3,0,11.6839,0.5765
-11.126,1,1.06075,1,3,0,11.2397,0.53336
-11.1091,0.952918,1.06075,2,3,0,11.4186,0.47581
-11.1238,0.869673,1.06075,2,3,0,11.9206,0.532271
-11.1238,0.44785,1.06075,1,3,0,14.0405,0.532271
-11.1074,0.897569,1.06075,2,3,0,11.7559,0.476938
-11.5247,0.908689,1.06075,1,3,0,11.5574,0.385063
-11.6459,0.990064,1.06075,2,3,0,11.7313,0.370489
-13.7065,0.714959,1.06075,1,3,0,13.72,0.23593
-11.8729,1,1.06075,1,1,0,13.2943,0.347366
-11.2951,1,1.06075,2,3,0,11.727,0.420517
-11.0908,0.996197,1.06075,2,3,0,11.3173,0.496121
-11.1217,0.991544,1.06075,1,3,0,11.1322,0.531286
-11.359,0.971,1.06075,2,3,0,11.3716,0.409132
-11.359,0.732506,1.06075,1,3,0,12.6084,0.409132
-11.1116,0.98685,1.06075,1,3,0,11.4377,0.525744
-11.4903,0.918567,1.06075,1,3,0,11.5138,0.610418
-11.9918,0.883669,1.06075,1,1,0,12.018,0.663222
-11.5571,1,1.06075,1,1,0,11.9301,0.619036
-11.2178,0.952664,1.06075,2,3,0,11.9647,0.562859
-11.1267,1,1.06075,1,1,0,11.1943,0.533684
-11.2636,0.986326,1.06075,2,3,0,11.2653,0.426817
-11.2351,1,1.06075,1,1,0,11.288,0.433045
-11.093,1,1.06075,2,3,0,11.2243,0.509051
-12.2281,0.744558,1.06075,1,3,0,12.4468,0.682048
-12.2281,0.710436,1.06075,1,1,0,13.5092,0.682048
-11.2811,1,1.06075,2,3,0,12.0058,0.423248
-11.2105,1,1.06075,1,1,0,11.2811,0.438965
-11.4261,0.911392,1.06075,1,3,0,11.7934,0.601372
-11.453,0.900591,1.06075,2,3,0,12.3459,0.394746
-11.4561,0.86097,1.06075,2,3,0,12.6649,0.605699
-11.5705,0.971609,1.06075,1,1,0,11.6407,0.620677
-11.8698,0.929028,1.06075,1,1,0,11.9353,0.652346
-12.4614,0.956975,1.06075,2,3,0,12.5451,0.698434
-11.6595,1,1.06075,1,1,0,12.2964,0.631029
-11.7168,0.87898,1.06075,1,3,0,12.9494,0.362784
-11.1441,1,1.06075,2,3,0,11.6072,0.540925
-11.2949,0.961273,1.06075,1,1,0,11.2951,0.579433
-12.7405,0.748399,1.06075,1,3,0,12.7804,0.715861
-11.8976,1,1.06075,1,1,0,12.6038,0.654908
-11.3253,1,1.06075,1,1,0,11.7553,0.585062
-11.3253,0.608469,1.06075,1,3,0,13.51,0.585062
-11.3578,0.933199,1.06075,2,3,0,11.9248,0.590669
-11.1322,1,1.06075,1,3,0,11.3003,0.536124
-12.3321,0.753475,1.06075,1,3,0,12.4509,0.689585
-11.0946,0.988985,1.06075,2,3,0,12.3756,0.511539
-11.3298,0.962755,1.06075,2,3,0,11.3737,0.414142
-11.1476,1,1.06075,1,1,0,11.2822,0.457768
-15.1914,0.340579,1.06075,1,3,0,15.9938,0.183345
-12.8209,1,1.06075,1,1,0,14.7619,0.279476
-11.1178,0.997862,1.06075,1,3,0,12.6173,0.470715
-12.9022,0.585399,1.06075,1,3,0,13.6021,0.72509
-11.5775,1,1.06075,2,3,0,12.5867,0.378477
-12.6222,0.778466,1.06075,1,1,0,12.6268,0.291277
-11.8274,1,1.06075,1,1,0,12.4885,0.351668
-11.3663,0.928303,1.06075,1,3,0,12.5392,0.592071
-12.6575,0.8799,1.06075,2,3,0,12.6743,0.289107
-12.6935,0.992202,1.06075,1,1,0,13.061,0.286932
-11.2399,0.935693,1.06075,1,3,0,13.2776,0.568039
-11.096,0.994951,1.06075,1,3,0,11.2641,0.486775
-12.1461,0.765325,1.06075,1,3,0,12.3255,0.324195
-13.1992,0.792155,1.06075,1,1,0,13.2715,0.25931
-13.9882,0.857276,1.06075,1,1,0,14.281,0.224376
-11.1094,0.98284,1.06075,1,3,0,13.7985,0.475612
-11.1094,0.960221,1.06075,1,3,0,11.294,0.475612
-11.6814,0.875116,1.06075,1,3,0,11.7335,0.366563
-12.0583,0.912976,1.06075,1,1,0,12.1356,0.331212
-12.4608,0.911605,1.06075,1,1,0,12.6129,0.301608
-12.5006,0.991172,1.06075,1,1,0,12.8239,0.298993
-11.6763,1,1.06075,1,1,0,12.3313,0.367118
-13.0874,0.718684,1.06075,1,1,0,13.0884,0.264995
-12.4608,1,1.06075,1,1,0,13.1429,0.301608
-11.5563,1,1.06075,2,3,0,12.2508,0.381065
-11.4071,1,1.06075,1,1,0,11.571,0.40148
-11.4732,0.778264,1.06075,2,3,0,13.1538,0.608088
-11.2224,1,1.06075,1,1,0,11.4127,0.563973
-11.1399,1,1.06075,1,1,0,11.2032,0.539295
-13.0675,0.550704,1.06075,1,3,0,13.9283,0.266027
-11.812,1,1.06075,1,1,0,12.7926,0.353155
-12.1756,0.917201,1.06075,1,1,0,12.2825,0.321918
-11.8379,1,1.06075,1,1,0,12.2124,0.350659
-13.9769,0.815705,1.06075,2,7,0,13.9773,0.775178
-11.1174,0.983321,1.06075,1,3,0,13.7557,0.529028
-11.1174,0.554742,1.06075,1,3,0,13.2828,0.529028
-11.1335,0.995737,1.06075,1,1,0,11.1377,0.536685
-11.7788,0.866695,1.06075,1,3,0,11.8153,0.643576
-11.1526,0.967891,1.06075,1,3,0,12.0088,0.455986
-11.1526,0.533362,1.06075,1,3,0,13.5219,0.455986
-11.1443,1,1.06075,2,3,0,11.1628,0.459008
-11.213,0.982116,1.06075,1,1,0,11.2172,0.438326
-11.1545,0.981386,1.06075,1,3,0,11.3627,0.544692
-13.6625,0.697638,1.06075,2,3,0,13.9103,0.237821
-12.5086,1,1.06075,2,3,0,13.5345,0.298474
-11.2093,1,1.06075,1,3,0,12.2395,0.439249
-11.5989,0.96514,1.06075,2,3,0,11.5989,0.375918
-11.5989,0.315567,1.06075,2,3,0,17.1256,0.375918
-11.5654,0.909893,1.06075,1,3,0,12.6027,0.620048
-11.4203,1,1.06075,1,1,0,11.5848,0.600497
-11.2817,0.951623,1.06075,1,3,0,11.8609,0.423124
-11.161,0.977121,1.06075,1,3,0,11.4603,0.546874
-11.916,0.783859,1.06075,1,3,0,12.3944,0.343427
-13.1351,0.758151,1.06075,1,1,0,13.1619,0.262543
-11.1683,0.947437,1.06075,1,3,0,13.5574,0.549235
-11.1369,1,1.06075,1,1,0,11.1667,0.538082
-11.0935,0.997774,1.06075,1,3,0,11.1488,0.490085
-11.0904,0.965761,1.06075,2,3,0,11.291,0.501615
-11.0904,0.76455,1.06075,1,3,0,12.0557,0.501615
-12.3921,0.704795,1.06075,1,3,0,12.6938,0.693758
-11.2956,1,1.06075,2,3,0,12.1381,0.420432
-11.4391,0.963831,1.06075,1,1,0,11.4667,0.396734
-11.204,1,1.06075,2,3,0,11.381,0.440617
-11.1718,0.935053,1.06075,2,3,0,11.6645,0.550327
-11.1443,0.932829,1.06075,2,3,0,11.62,0.458995
-11.1292,0.75662,1.06075,2,3,0,12.8139,0.534795
-12.1723,0.783394,1.06075,1,3,0,12.2695,0.677834
-11.2553,1,1.06075,2,3,0,11.9613,0.428575
-11.2406,0.847575,1.06075,2,3,0,12.3499,0.568197
-11.1779,1,1.06075,1,1,0,11.2362,0.552177
-11.6319,0.915687,1.06075,1,3,0,11.6353,0.627916
-11.3837,1,1.06075,1,1,0,11.6022,0.594869
-11.3837,0.857912,1.06075,1,3,0,12.3779,0.594869
-11.6037,0.945871,1.06075,1,1,0,11.6403,0.624656
-11.5396,1,1.06075,2,3,0,11.6886,0.616845
-11.9575,0.902413,1.06075,1,1,0,12.001,0.660254
-12.3039,0.974096,1.06075,2,3,0,12.4451,0.687583
-13.1282,0.605755,1.06075,1,3,0,16.3953,0.262896
-11.7063,1,1.06075,1,1,0,12.7987,0.363892
-11.1415,0.971941,1.06075,1,3,0,11.8987,0.539927
-11.1327,1,1.06075,1,1,0,11.1485,0.536317
-11.2271,0.97549,1.06075,1,1,0,11.228,0.565083
-11.1349,1,1.06075,2,3,0,11.2041,0.53725
-11.1288,1,1.06075,1,1,0,11.1421,0.534611
-11.1029,1,1.06075,1,1,0,11.1223,0.519812
-11.1029,0.623999,1.06075,2,3,0,13.8322,0.519812
-12.4849,0.704389,1.06075,1,3,0,12.7073,0.699984
-13.2021,0.85739,1.06075,1,1,0,13.381,0.740834
-12.8544,1,1.06075,1,1,0,13.4579,0.722423
-11.492,0.999681,1.06075,1,3,0,12.5278,0.610648
-11.2325,0.951632,1.06075,2,3,0,11.9176,0.566358
-11.1306,0.985155,1.06075,1,3,0,11.3406,0.464577
-11.1747,0.698371,1.06075,2,3,0,13.2375,0.551211
-11.8678,0.795039,1.06075,1,3,0,12.3603,0.34784
-11.4096,1,1.06075,1,1,0,11.7705,0.401107
-11.4096,0.548319,1.06075,1,3,0,13.7525,0.401107
-11.129,0.980593,1.06075,1,3,0,11.5386,0.53469
-11.227,0.963239,1.06075,2,3,0,11.3925,0.565062
-11.8093,0.857524,1.06075,2,3,0,12.3892,0.353416
-11.7738,0.878809,1.06075,1,3,0,13.2638,0.643074
-11.5986,1,1.06075,1,1,0,11.8232,0.624048
-11.344,1,1.06075,1,1,0,11.5583,0.588332
-11.9051,0.868432,1.06075,1,1,0,11.9087,0.655587
-11.0905,1,1.06075,1,3,0,11.8626,0.50194
-11.1072,0.995521,1.06075,1,3,0,11.1121,0.477053
-11.7532,0.828444,1.06075,1,3,0,12.0145,0.640996
-11.9944,0.981185,1.06075,2,3,0,12.1102,0.663442
-11.3163,1,1.06075,1,1,0,11.8237,0.583437
-11.3292,0.855801,1.06075,2,3,0,12.4372,0.414253
-11.5289,0.983456,1.06075,2,3,0,11.5565,0.384524
-11.8768,0.917718,1.06075,1,1,0,11.9268,0.347004
-11.8768,0.912968,1.06075,1,1,0,12.2892,0.347004
-11.0904,1,1.06075,1,3,0,11.8362,0.498304
-14.0348,0.429777,1.06075,1,3,0,14.8779,0.777452
-12.1104,1,1.06075,1,1,0,13.6244,0.672995
-11.9022,0.863722,1.06075,1,3,0,13.9199,0.344673
-11.5889,1,1.06075,1,1,0,11.8927,0.377106
-11.0966,0.991262,1.06075,1,3,0,11.6221,0.513944
-11.1832,0.981191,1.06075,1,3,0,11.1871,0.553703
-11.4046,0.944071,1.06075,1,1,0,11.4059,0.598125
-11.1634,0.972513,1.06075,1,3,0,11.6118,0.452333
-11.1258,0.98916,1.06075,1,3,0,11.2473,0.533259
-11.1088,0.900662,1.06075,2,3,0,11.7398,0.476021
-13.2441,0.574123,1.06075,1,3,0,13.6251,0.257089
-12.0174,1,1.06075,2,3,0,13.0074,0.334609
-11.1107,1,1.06075,1,3,0,11.8827,0.474797
-11.0911,0.999317,1.06075,1,3,0,11.1138,0.504712
-11.1548,0.98478,1.06075,1,3,0,11.163,0.54479
-11.691,0.894468,1.06075,1,3,0,11.705,0.634468
-11.4328,0.922534,1.06075,1,3,0,12.4916,0.397643
-11.2164,1,1.06075,1,1,0,11.3822,0.437496
-11.1778,0.977294,1.06075,1,3,0,11.4087,0.552146
-11.0948,0.994886,1.06075,2,3,0,11.2117,0.511741
-11.3804,0.933768,1.06075,1,3,0,11.4147,0.594354
-11.6642,0.976969,1.06075,2,3,0,11.6924,0.631544
-11.4392,1,1.06075,1,1,0,11.6557,0.603289
-11.2369,0.952422,1.06075,2,3,0,11.8618,0.567361
-11.6132,0.861827,1.06075,1,3,0,12.1194,0.374241
-11.0955,1,1.06075,1,3,0,11.5484,0.487287
-11.0912,0.974656,1.06075,2,3,0,11.2422,0.505242
-11.0934,0.821,1.06075,2,3,0,12.2195,0.490251
-11.0934,0.898131,1.06075,1,3,0,11.5,0.490251
-11.322,0.94646,1.06075,1,3,0,11.3505,0.415527
-11.1276,0.98305,1.06075,1,3,0,11.4372,0.534066
-11.212,0.978038,1.06075,1,1,0,11.2127,0.561411
-11.2406,0.992545,1.06075,1,1,0,11.2665,0.568211
-11.5266,0.929067,1.06075,1,1,0,11.5313,0.615188
-14.697,0.686801,1.06075,2,3,0,14.7472,0.198792
-11.52,0.98406,1.06075,1,3,0,14.1042,0.385671
-11.2469,0.948541,1.06075,2,3,0,11.9793,0.430398
-11.8909,0.888637,1.06075,1,3,0,11.8926,0.34571
-12.0317,0.967032,1.06075,1,1,0,12.1999,0.333409
-12.9392,0.814677,1.06075,1,1,0,13.0107,0.272873
-11.2138,0.938042,1.06075,1,3,0,13.484,0.561859
-12.7125,0.720939,1.06075,1,3,0,12.7977,0.714204
-11.098,0.984352,1.06075,1,3,0,12.7808,0.484553
-11.098,0.886784,1.06075,1,3,0,11.5252,0.484553
-11.092,0.736101,1.06075,2,3,0,12.8884,0.507099
-11.092,0.794415,1.06075,1,3,0,11.9151,0.507099
-11.0988,0.952075,1.06075,2,3,0,11.3705,0.483792
-11.3478,0.930606,1.06075,1,3,0,11.4525,0.588976
-11.3205,1,1.06075,1,1,0,11.3947,0.584201
-11.2985,0.946052,1.06075,2,3,0,11.8183,0.580127
-11.3542,0.985754,1.06075,1,1,0,11.3967,0.590056
-11.1261,0.982628,1.06075,1,3,0,11.4699,0.466617
-11.3338,0.941315,1.06075,2,3,0,11.5482,0.413434
-11.1407,1,1.06075,2,3,0,11.2857,0.539608
-11.0993,0.995846,1.06075,1,3,0,11.1675,0.483266
-11.1016,0.999384,1.06075,1,1,0,11.1035,0.481223
-11.1134,0.967718,1.06075,2,3,0,11.2958,0.526798
-13.4392,0.677617,1.06075,2,3,0,14.0964,0.752204
-14.4115,0.833177,1.06075,1,1,0,14.706,0.791443
-12.222,1,1.06075,1,1,0,13.9515,0.681595
-11.0932,1,1.06075,1,3,0,12.135,0.509386
-11.5449,0.893987,1.06075,1,3,0,11.6144,0.617507
-11.3154,1,1.06075,2,3,0,11.5078,0.583275
-12.4822,0.654841,1.06075,1,3,0,13.5667,0.300194
-13.3455,0.831873,1.06075,1,1,0,13.4989,0.252189
-11.2215,0.994051,1.06075,1,3,0,12.9798,0.436253
-11.3,0.979787,1.06075,1,1,0,11.3199,0.419581
-13.5123,0.621831,1.06075,1,3,0,13.6412,0.244457
-11.2195,0.992183,1.06075,1,3,0,13.1354,0.436726
-11.2294,0.997416,1.06075,1,1,0,11.2611,0.434362
-11.3342,0.939724,1.06075,1,3,0,11.6832,0.586634
-11.2043,0.961814,1.06075,2,3,0,11.6648,0.55946
-11.2465,0.96346,1.06075,1,3,0,11.5064,0.430475
-11.9099,0.935627,1.06075,2,3,0,11.9191,0.656022
