# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-06 21:07:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/3c/q2s2z4v92bx59zp2nvycr10c0000gn/T/tmpw192n7x9/_a7ex_du.json
# init = 2 (Default)
# random
#   seed = 84732
# output
#   file = /Users/kamilbaradziej/PythonProjects/DataAnalytics/Lab1_Python_review/out/bern_1-20220306220754_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.862041
# Diagonal elements of inverse mass matrix:
# 0.25809
-11.1557,0.993402,0.862041,1,1,0,11.1561,0.545091
-11.2834,0.936586,0.862041,1,3,0,11.6475,0.422793
-11.0904,0.936873,0.862041,2,3,0,11.8422,0.500484
-11.154,0.985928,0.862041,1,3,0,11.1845,0.544495
-11.8161,0.827921,0.862041,2,3,0,12.6321,0.352755
-11.0952,0.963931,0.862041,1,3,0,12.1538,0.512278
-11.0977,0.999509,0.862041,1,1,0,11.0981,0.515189
-11.6822,0.795598,0.862041,2,3,0,12.7995,0.366483
-12.1694,0.918616,0.862041,1,1,0,12.1849,0.322393
-12.1596,1,0.862041,1,1,0,12.3564,0.323148
-11.4302,0.973837,0.862041,2,3,0,12.5081,0.398033
-11.6174,0.966476,0.862041,1,1,0,11.6391,0.373744
-11.4129,0.871227,0.862041,1,3,0,12.9451,0.599397
-11.098,0.977323,0.862041,1,3,0,11.605,0.484569
-11.0971,0.997269,0.862041,1,3,0,11.1218,0.514484
-12.2312,0.785854,0.862041,1,3,0,12.7058,0.682283
-11.1272,0.980338,0.862041,1,3,0,12.3344,0.533903
-11.1827,0.996498,0.862041,2,3,0,11.1827,0.553555
-11.2532,0.981373,0.862041,2,3,0,11.3863,0.570967
-11.1619,1,0.862041,1,1,0,11.2363,0.547169
-11.1736,0.999682,0.862041,2,7,0,11.1737,0.449122
-11.1141,0.98264,0.862041,2,7,0,11.3062,0.527225
-11.4909,0.892805,0.862041,1,3,0,11.8852,0.389503
-11.1493,0.946517,0.862041,1,3,0,11.9538,0.542857
-11.2322,0.95546,0.862041,1,3,0,11.528,0.433719
-11.43,0.888568,0.862041,1,3,0,12.1454,0.601941
-11.2551,0.983531,0.862041,2,3,0,11.6353,0.571389
-11.6149,0.849629,0.862041,1,3,0,12.5825,0.374035
-11.6969,0.985452,0.862041,1,1,0,11.7705,0.364892
-11.106,0.988223,0.862041,1,3,0,11.7568,0.477888
-11.5285,0.88765,0.862041,1,3,0,11.9081,0.615429
-11.0975,0.920469,0.862041,2,3,0,12.3163,0.485044
-11.3399,0.935774,0.862041,1,3,0,11.5437,0.587632
-11.3057,1,0.862041,2,7,0,11.3341,0.418509
-11.5147,0.962073,0.862041,1,1,0,11.519,0.38635
-11.4679,1,0.862041,2,3,0,11.5632,0.392643
-11.2263,0.919696,0.862041,2,7,0,12.1577,0.5649
-11.2709,0.98087,0.862041,2,3,0,11.4538,0.574695
-11.3164,0.920978,0.862041,1,3,0,11.9945,0.416536
-11.475,0.971085,0.862041,1,1,0,11.4853,0.391668
-11.5372,0.84839,0.862041,1,3,0,12.9509,0.616541
-11.1616,0.941976,0.862041,3,7,0,12.0402,0.452928
-11.0913,0.963086,0.862041,2,3,0,11.4688,0.494484
-11.0904,0.999451,0.862041,2,3,0,11.0958,0.49956
-11.2695,0.960535,0.862041,1,3,0,11.3577,0.425597
-11.3344,0.913785,0.862041,1,3,0,12.0313,0.586662
-11.2179,1,0.862041,1,1,0,11.3158,0.562886
-11.2179,0.788257,0.862041,1,3,0,12.9276,0.562886
-13.3971,0.771619,0.862041,2,3,0,13.6778,0.750249
-11.1345,0.965863,0.862041,2,3,0,13.7846,0.537081
-11.1957,0.996138,0.862041,2,3,0,11.1958,0.557194
-11.393,0.905551,0.862041,2,7,0,11.9743,0.403659
-11.0908,0.987326,0.862041,1,3,0,11.5077,0.503898
-11.1129,0.997283,0.862041,2,3,0,11.1157,0.526497
-12.796,0.815071,0.862041,2,3,0,12.9196,0.719096
-12.7003,1,0.862041,1,1,0,13.0292,0.713478
-11.3309,1,0.862041,2,7,0,12.4974,0.413947
-11.091,0.993179,0.862041,1,3,0,11.3861,0.495434
-11.3305,0.950039,0.862041,1,3,0,11.4319,0.414014
-11.697,0.934919,0.862041,1,1,0,11.697,0.36488
